Class;Order;Superfamily;AppName
CLASSI;;;
CLASSI;LTR;;LTR
CLASSI;LTR;COPIA;COPIA
CLASSI;LTR;GYPSY;GYPSY
CLASSI;LTR;BELPAO;BELPAO
CLASSI;LTR;ERV;ERV
CLASSI;LTR;TRIM;TRIM
CLASSI;LTR;LARD;LARD
CLASSI;LINE;;LINE
CLASSI;SINE;;SINE
CLASSI;LINE;R2;R2
CLASSI;LINE;RTE;RTE
CLASSI;LINE;JOCKEY;JOCKEY
CLASSI;LINE;L1;L1
CLASSI;LINE;I;I
CLASSI;LINE;R1;R1
CLASSI;LINE;CR1;CR1
CLASSI;LINE;LOA;LOA
CLASSI;LINE;L2;L2
CLASSI;PLE;;PLE
CLASSI;DIRS;DIRS;DIRS
CLASSI;DIRS;NGARO;NGARO
CLASSI;DIRS;VIPER;VIPER
CLASSII;;;
CLASSII;TIR;;TIR
CLASSII;MITE;;MITE
CLASSII;TIR;TC1MARINER;TC1MARINER
CLASSII;TIR;HAT;HAT
CLASSII;TIR;MUTATOR;MUTATOR
CLASSII;TIR;MERLIN;MERLIN
CLASSII;TIR;TRANSIB;TRANSIB
CLASSII;TIR;P;P
CLASSII;TIR;PIGGYBAC;PIGGYBAC
CLASSII;TIR;PIFHARBINGER;PIFHARBINGER
CLASSII;TIR;CACTA;CACTA
CLASSII;TIR;MULE;MULE
CLASSII;TIR;CMC;CMC
CLASSII;HELITRON;;HELITRON
CLASSII;MAVERICK;;MAVERICK
CLASSII;CRYPTON;;CRYPTON
